runNumber,eventNumber,trackIndex,pdg,px,py,pz,x,y,z,time,maxTurn
-8093,0,6,211,-0.215645,-0.0323075,0.0405381,0.0390427,-0.154758,-1.47359,663.919,0
-8093,0,7,-211,0.530036,-0.326425,-0.0821394,0.0390427,-0.154758,-1.47359,663.919,0
-8093,0,8,2212,-0.558044,0.435755,-0.168796,0.0390427,-0.154758,-1.47359,663.919,0
-8093,0,9,-2212,0.277721,-0.0770222,0.213228,0.0390427,-0.154758,-1.47359,663.919,0
-8093,1,6,211,-0.00192326,0.422618,-0.320025,0.0326458,-0.155206,-0.200093,648,0
-8093,1,7,-211,0.106587,-0.0698825,-0.261467,0.0326458,-0.155206,-0.200093,648,0
-8093,1,8,2212,-0.265946,-0.46867,0.246089,0.0326458,-0.155206,-0.200093,648,0
-8093,1,9,-2212,0.1884,0.0942312,0.405636,0.0326458,-0.155206,-0.200093,648,0
-8093,2,6,211,-0.261469,-0.35914,0.0964574,-0.0392265,-0.153958,-0.362205,655.961,0
-8093,2,7,-211,-0.217114,0.561147,0.0212922,-0.0392265,-0.153958,-0.362205,655.961,0
-8093,2,8,2212,0.386776,0.0621313,-0.0823759,-0.0392265,-0.153958,-0.362205,655.961,0
-8093,2,9,-2212,0.125874,-0.264139,-0.0346939,-0.0392265,-0.153958,-0.362205,655.961,0
-8093,3,7,211,0.293718,-0.255094,-0.125659,0.053635,-0.154273,1.85718,664.006,0
-8093,3,8,-211,0.0188485,0.260156,0.234501,0.053635,-0.154273,1.85718,664.006,0
-8093,3,9,2212,0.0422255,-0.263463,-0.606039,0.053635,-0.154273,1.85718,664.006,0
-8093,3,10,-2212,-0.320726,0.258401,0.497591,0.053635,-0.154273,1.85718,664.006,0
-8093,4,6,211,-0.269641,0.0060036,0.235682,0.0424355,-0.154718,1.08973,647.996,0
-8093,4,8,2212,-0.153488,0.115395,0.269173,0.0424355,-0.154718,1.08973,647.996,0
-8093,4,9,-2212,0.566969,0.0297148,0.0687743,0.0424355,-0.154718,1.08973,647.996,0
-8093,5,7,211,0.163178,0.281167,0.208745,0.0253504,-0.15457,0.0713549,655.984,0
-8093,5,8,-211,0.217592,-0.384593,0.117672,0.0253504,-0.15457,0.0713549,655.984,0
-8093,5,9,2212,-0.52574,0.383144,-0.400716,0.0253504,-0.15457,0.0713549,655.984,0
