runNumber,eventNumber,trackIndex,pdg,px,py,pz,x,y,z,time,maxTurn
-8093,0,7,211,-0.22573,0.160004,0.324217,0.047547,-0.156251,-0.051152,664.002,0
-8093,0,8,-211,0.156629,0.222642,-0.463046,0.047547,-0.156251,-0.051152,664.002,0
-8093,0,9,2212,0.275989,-0.0664572,0.393927,0.047547,-0.156251,-0.051152,664.002,0
-8093,0,10,-2212,-0.172822,-0.316188,-0.255644,0.047547,-0.156251,-0.051152,664.002,0
-8093,1,6,211,0.133276,-0.210655,-0.276677,0.0410372,-0.154677,1.57037,647.949,0
-8093,1,7,-211,-0.0599323,-0.22305,0.281953,0.0410372,-0.154677,1.57037,647.949,0
-8093,1,8,2212,-0.415444,0.550368,-0.38098,0.0410372,-0.154677,1.57037,647.949,0
-8093,1,9,-2212,0.376167,-0.116663,0.373366,0.0410372,-0.154677,1.57037,647.949,0
-8093,2,6,211,0.0321668,-0.421647,-0.0750202,0.0198764,-0.15541,0.137543,663.992,0
-8093,2,7,-211,-0.212749,-0.285559,-0.225436,0.0198764,-0.15541,0.137543,663.992,0
-8093,2,8,2212,0.348987,0.339042,-0.187324,0.0198764,-0.15541,0.137543,663.992,0
-8093,2,9,-2212,-0.134338,0.368163,0.488634,0.0198764,-0.15541,0.137543,663.992,0
-8093,3,7,211,0.248966,0.179313,-0.0251129,-0.00387858,-0.155314,0.418629,664.023,0
-8093,3,8,-211,0.189385,0.258357,-0.332902,-0.00387858,-0.155314,0.418629,664.023,0
-8093,3,9,2212,0.238961,-0.302012,-0.146708,-0.00387858,-0.155314,0.418629,664.023,0
-8093,3,10,-2212,-0.643243,-0.135658,0.504413,-0.00387858,-0.155314,0.418629,664.023,0
-8093,4,6,211,-0.0174632,0.445804,0.200798,-0.0303964,-0.154716,-0.447905,655.963,0
-8093,4,7,-211,0.124833,-0.149579,-0.160115,-0.0303964,-0.154716,-0.447905,655.963,0
-8093,4,8,2212,0.162747,0.381222,0.304463,-0.0303964,-0.154716,-0.447905,655.963,0
-8093,4,9,-2212,-0.236047,-0.677447,-0.344569,-0.0303964,-0.154716,-0.447905,655.963,0
-8093,5,6,211,-0.105614,0.00822318,0.0264798,0.0165347,-0.154394,-0.869516,655.983,0
-8093,5,7,-211,-0.30815,0.154806,0.293773,0.0165347,-0.154394,-0.869516,655.983,0
-8093,5,8,2212,0.434362,-0.541437,0.366873,0.0165347,-0.154394,-0.869516,655.983,0
-8093,5,9,-2212,0.0134707,0.378408,-0.686228,0.0165347,-0.154394,-0.869516,655.983,0
-8093,6,6,211,-0.194453,0.0249062,-0.151269,0.0299657,-0.154998,-0.745199,647.987,0
-8093,6,7,-211,0.300581,-0.570572,0.0254259,0.0299657,-0.154998,-0.745199,647.987,0
-8093,6,8,2212,-0.168931,0.305623,-0.36122,0.0299657,-0.154998,-0.745199,647.987,0
-8093,6,9,-2212,0.0968692,0.240042,0.486506,0.0299657,-0.154998,-0.745199,647.987,0
-8093,6,11,14,0.00540952,0.0148811,-0.0252358,-73.7704,-67.6545,-94.0338,684.604,0
-8093,7,6,211,0.0647222,0.150487,0.164068,0.0892495,-0.154757,-0.394161,656.008,0
-8093,7,7,-211,-0.428546,0.201821,0.0639655,0.0892495,-0.154757,-0.394161,656.008,0
-8093,7,8,2212,-0.384082,-0.225267,-0.346616,0.0892495,-0.154757,-0.394161,656.008,0
-8093,7,9,-2212,0.781973,-0.127041,0.117973,0.0892495,-0.154757,-0.394161,656.008,0
-8093,8,6,211,-0.146663,0.040626,-0.244374,0.0490571,-0.155034,-0.903004,663.985,0
-8093,8,7,-211,0.0973031,0.203687,-0.0670625,0.0490571,-0.155034,-0.903004,663.985,0
-8093,8,8,2212,0.121172,-0.918035,0.276453,0.0490571,-0.155034,-0.903004,663.985,0
-8093,8,9,-2212,-0.0377464,0.673722,0.0366373,0.0490571,-0.155034,-0.903004,663.985,0
-8093,8,11,14,0.027856,0.00968674,-0.00421428,-69.2337,-70.0299,-119.139,751.363,0
-8093,9,7,211,-0.063943,-0.0609365,-0.107175,0.0641124,-0.154073,0.361234,648.047,0
-8093,9,8,-211,-0.0921733,-0.354739,-0.688162,0.0641124,-0.154073,0.361234,648.047,0
-8093,9,9,2212,0.0224306,0.331109,0.388816,0.0641124,-0.154073,0.361234,648.047,0
-8093,9,10,-2212,0.167764,0.0845721,0.406399,0.0641124,-0.154073,0.361234,648.047,0
-8093,10,6,211,0.0451245,-0.0264443,-0.0962901,0.0464141,-0.154979,1.28871,656.037,0
-8093,10,7,-211,0.40075,-0.143399,-0.221598,0.0464141,-0.154979,1.28871,656.037,0
-8093,10,8,2212,-0.0257179,-0.606355,0.217785,0.0464141,-0.154979,1.28871,656.037,0
-8093,10,9,-2212,-0.38609,0.776198,0.100829,0.0464141,-0.154979,1.28871,656.037,0
-8093,10,11,14,-0.0128987,0.0265751,0.00386556,23.3603,23.6682,-91.0744,678.445,0
-8093,10,12,-11,-0.0217252,0.000915055,-0.0136653,23.3901,23.6073,-91.0833,1375.54,0
-8093,11,7,211,0.207931,0.303056,0.107053,-0.00966699,-0.153635,-0.542652,664.047,0
-8093,11,8,-211,-0.0411107,-0.263185,0.0199005,-0.00966699,-0.153635,-0.542652,664.047,0
-8093,11,9,2212,0.353591,-0.606588,-0.190224,-0.00966699,-0.153635,-0.542652,664.047,0
-8093,11,10,-2212,-0.486365,0.566727,0.0665736,-0.00966699,-0.153635,-0.542652,664.047,0
-8093,12,6,211,0.219021,0.304909,-0.0373929,0.00287682,-0.154851,-0.0816936,655.966,0
-8093,12,7,-211,-0.343248,0.0544069,-0.0766676,0.00287682,-0.154851,-0.0816936,655.966,0
-8093,12,8,2212,-0.538224,0.0177856,0.0456899,0.00287682,-0.154851,-0.0816936,655.966,0
-8093,12,9,-2212,0.696517,-0.377101,0.0682489,0.00287682,-0.154851,-0.0816936,655.966,0
-8093,12,10,-13,0.0350128,0.370424,-0.0390795,23.5879,65.8175,-7.20465,658.504,0
-8093,13,6,211,0.309953,0.0425745,0.251369,0.0173352,-0.154956,-0.903904,664.029,0
-8093,13,7,-211,-0.270035,0.213838,-0.473352,0.0173352,-0.154956,-0.903904,664.029,0
-8093,13,8,2212,0.361596,-0.0143408,-0.0225846,0.0173352,-0.154956,-0.903904,664.029,0
-8093,13,9,-2212,-0.367445,-0.242071,0.243524,0.0173352,-0.154956,-0.903904,664.029,0
-8093,14,6,211,0.0434322,-0.0558219,0.23743,0.0851657,-0.155575,0.46015,655.961,0
-8093,14,7,-211,0.405823,-0.52532,-0.0231419,0.0851657,-0.155575,0.46015,655.961,0
